Blog	kids	golden	catchy	therefore	travel	fit	songwriter	effects	needed	friend	feeling	mouth	singer	saying	rich	lots	nature	dave	split	crowd	bottom	role	roll	minute	working	originally	following	didn	seriously	internet	wrong	turned	west	formed	photos	former	pull	dirty	small	past	hasn	full	november	experience	followed	door	company	learn	huge	paper	scott	roots	self	singles	sometimes	project	parents	couple	chorus	influence	makes	baby	process	realized	perfect	realize	books	length	scene	festival	false	tonight	jam	tape	stuff	become	places	problem	details	worth	era	production	safe	l	daniel	electronic	john	dogs	runs	hand	musical	thanks	born	available	turns	gun	guy	extra	lounge	kurt	brain	non	drop	yeah	tried	tomorrow	caught	vocals	verse	gonna	fully	start	stars	poor	month	streets	learned	tracks	ask	almost	evening	heavy	american	grey	albums	feels	culture	close	pictures	missing	forgotten	lived	lives	smart	grand	friends	obviously	popular	e	wave	telling	michael	ryan	camera	meet	including	special	sitting	times	probably	hits	tuesday	party	http	lost	lose	north	beats	star	stay	sorry	likely	men	met	recordings	fantastic	room	amazing	third	personal	ears	tiny	seven	yes	yet	save	deal	dead	magazine	journey	weekend	happening	father	round	okay	filled	box	boy	bob	visit	fuck	interesting	performance	morning	wonder	label	enough	across	august	tour	among	wake	images	each	saturday	u	hour	needs	coming	point	century	cut	absolutely	epic	planet	entire	talent	closing	y	despite	however	johnny	hair	school	blue	leaves	excellent	drummer	alex	bridge	hopefully	news	n	sings	gave	stuck	setting	picture	level	posts	goes	andy	figure	turn	sure	later	jazz	quiet	featuring	direction	andrew	spirit	case	without	moon	list	sun	version	flat	rather	short	clouds	hill	friday	story	store	king	electric	wrote	solo	attention	sweet	questions	range	nick	nice	include	melodies	folk	leaving	edit	g	unknown	why	fear	feat	bought	joy	job	april	perhaps	promise	incredible	hurt	machine	wind	wasn	listen	person	released	theme	unfortunately	fair	child	possible	possibly	unique	steps	energy	happy	team	current	bloody	winter	spot	date	records	prince	future	guitar	pop	went	industry	act	image	gone	original	section	hours	pick	action	keeping	beautiful	sense	station	information	week	missed	imagine	w	number	heads	relationship	grace	video	play	plan	cover	set	sex	sea	whole	synth	fire	funny	recent	anything	link	line	mood	miles	bird	led	standing	doubt	animal	kiss	david	clearly	hope	edition	drum	co	cd	colour	moments	appeared	stage	sister	official	francisco	ii	green	somewhere	dj	de	com	voice	kept	fight	together	p	change	december	remember	cold	half	hall	entirely	el	en	ex	ep	space	shows	size	mostly	ground	concert	comes	media	finish	touch	real	read	lady	recorded	died	trying	expect	describe	moved	strong	ahead	musically	food	neil	robert	since	bass	towards	pretty	kind	during	won	genre	liked	wait	else	used	march	run	seeing	himself	doesn	depth	download	attack	ben	bed	anyway	written	sold	addition	kick	sonic	ha	recommend	type	tell	give	somewhat	acoustic	surprise	isn	loud	hook	girls	matter	points	stop	near	shame	www	normal	form	classic	shit	felt	fell	string	effort	growing	crazy	pink	sunday	guys	grow	maybe	vinyl	question	pain	paid	behind	reading	jr	margin	middle	same	totally
The Power of Independent Trucking	1	0	0	2	0	2	0	2	1	9	0	0	5	0	0	0	0	0	1	0	2	2	0	2	9	0	1	14	0	0	0	5	2	3	0	0	1	1	2	4	0	5	1	3	0	0	2	0	0	1	0	1	1	0	3	6	0	5	1	1	0	0	1	1	4	1	0	0	1	0	3	0	0	14	9	1	0	6	1	4	1	0	0	6	0	1	1	0	1	2	1	8	0	5	1	0	3	0	0	0	0	4	0	0	1	0	0	7	0	0	2	3	0	0	2	0	3	8	3	1	2	1	1	0	1	0	0	5	1	0	0	2	3	0	0	2	2	1	5	0	0	1	0	0	2	3	0	2	3	4	0	0	1	0	2	1	1	0	0	1	1	2	0	1	1	2	1	1	1	0	2	0	0	4	10	1	0	3	0	0	1	0	1	2	0	0	2	0	4	1	3	2	4	4	0	2	4	3	4	0	2	1	5	3	1	1	1	1	4	6	0	1	5	0	0	3	0	2	1	0	1	1	0	2	0	1	2	8	12	1	0	2	0	0	3	0	2	0	0	2	1	0	3	0	3	6	1	1	0	0	3	0	0	7	0	0	0	12	6	3	5	0	0	0	1	2	0	7	11	2	2	0	1	0	0	4	0	0	1	0	1	1	2	10	0	0	0	15	5	0	4	0	0	0	4	0	7	8	0	5	3	1	3	0	0	0	0	0	0	4	0	1	1	0	0	1	3	0	4	13	0	4	1	2	1	0	17	1	4	2	0	1	2	2	0	1	5	2	0	0	0	0	0	0	1	9	2	12	24	0	0	2	0	0	1	2	9	6	1	0	0	0	1	0	1	0	0	0	4	1	2	3	3	4	0	0	0	2	1	0	0	1	0	4	0	0	2	1	0	0	1	3	0	1	8	2	2	0	1	0	3	0	1	6	1	4	1	1	0	3	0	0	0	6	4	0	15	0	2	4	0	1	1	0	0	0	0	0	7	18	1	14	2	1	0	0	5	0	1	5	0	2	2	2	5	1	7	2	0	1	2	5	0	0	0	0	0	0	0	4	0	0	5	0	3	2	2	0	2	1	2	0	2	0	2	1	3	3	0	1	4	1	1	1	1	1	3	1	3	5	1	4	1	2	2	1	2	1	3	1
Stonehill Sketchbook	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
For the Other Things	2	0	0	2	6	0	0	0	1	4	4	2	1	2	0	0	0	0	0	0	2	0	0	0	2	0	0	12	0	0	1	1	0	0	3	0	2	0	3	6	0	1	0	4	1	0	5	4	2	0	0	0	3	0	2	3	1	1	0	0	6	2	2	1	1	1	0	0	0	0	6	1	0	0	1	6	4	1	0	0	0	0	4	0	0	0	1	0	2	3	0	0	0	0	0	0	1	1	0	0	1	0	0	2	1	1	0	0	0	1	0	3	0	0	3	0	4	1	3	1	0	0	0	0	0	3	0	4	0	1	0	1	1	2	0	6	1	0	2	0	2	0	0	1	1	1	0	2	2	2	1	0	1	0	5	1	2	0	0	2	3	0	2	2	0	0	2	4	1	0	0	2	0	2	6	1	0	0	0	1	5	1	0	0	2	2	0	2	0	0	0	2	1	4	0	0	1	3	1	0	3	0	0	9	0	1	2	0	3	4	0	2	0	5	0	0	0	0	1	0	1	0	0	3	0	1	0	0	0	3	2	1	0	0	3	1	0	0	0	2	1	0	0	3	4	2	0	0	0	1	0	0	0	2	0	1	0	2	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	12	1	0	0	1	3	1	0	0	6	1	1	0	2	0	8	0	4	0	1	1	0	0	0	0	3	4	4	3	0	1	2	0	1	0	7	0	0	4	1	0	1	2	1	0	0	3	1	3	3	3	8	2	2	0	2	4	1	0	0	0	0	2	5	1	0	0	1	4	0	1	0	1	4	1	5	2	3	0	0	1	0	0	0	1	1	2	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	2	0	5	2	3	10	1	0	0	4	2	0	0	0	0	2	1	0	4	0	7	1	0	1	1	0	6	3	2	3	1	0	1	3	0	1	0	1	1	0	5	0	0	6	0	4	5	5	1	1	0	1	1	3	0	1	8	6	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	3	0	0	0	1	0	0	0	1	0	4	1	1	0	8	1	0	2	2	0	0	0	0	4	0	1	0	2	2	0	1	0	0	1	0	0	4	1	0	0
DaveCromwell Writes	3	5	4	2	0	8	17	20	5	15	16	0	27	4	8	4	12	44	2	15	2	5	10	8	11	9	10	12	4	2	5	9	7	1	5	9	3	4	1	8	0	58	7	31	4	1	4	4	10	1	10	5	27	3	22	14	2	8	23	18	17	10	34	5	16	2	4	24	19	17	2	1	3	6	22	8	11	0	3	12	26	19	2	2	9	19	16	3	7	9	22	3	6	6	3	3	5	2	5	3	2	1	4	11	1	1	6	83	6	6	10	12	12	1	13	6	3	55	0	6	15	28	3	0	20	6	3	7	2	5	1	4	3	1	4	22	4	9	2	7	2	5	3	3	5	10	10	5	30	11	5	7	7	13	6	0	3	6	9	4	0	2	4	4	19	2	15	12	12	17	2	2	3	8	26	0	6	22	32	4	6	4	2	0	0	4	3	11	6	1	3	10	39	5	2	23	16	4	2	32	4	2	5	24	11	4	8	5	21	27	2	3	4	3	0	12	3	0	1	3	24	3	5	6	8	3	2	22	4	14	6	0	12	6	11	3	6	5	28	0	14	6	7	7	17	18	9	2	6	15	3	10	1	9	8	12	6	14	2	7	5	0	1	6	24	3	3	14	11	19	9	16	8	4	8	12	3	3	10	9	0	1	0	37	3	0	1	1	4	7	6	2	5	0	16	3	7	36	14	38	14	1	2	2	9	4	17	2	10	11	4	20	4	3	2	3	36	2	3	131	41	13	3	13	12	6	18	10	2	5	2	7	12	17	2	3	6	0	4	0	32	4	5	8	42	41	2	15	61	4	2	17	29	5	3	18	14	5	25	8	0	1	9	1	7	6	1	19	6	7	2	21	14	3	1	11	6	56	1	8	0	1	2	6	5	4	22	21	5	1	15	1	11	2	5	2	9	13	3	0	0	5	29	18	38	5	2	1	8	28	5	1	13	13	15	1	32	0	19	18	2	4	10	1	3	1	2	4	19	69	14	25	45	21	4	18	4	1	14	15	6	12	3	4	7	3	8	2	5	4	3	28	1	15	3	50	0	0	4	14	17	10	19	4	8	1	17	9	15	12	7	8	1	6	1	8	34	10	6	2	8	10	5	3	12	2	6	3	12	7	5	1	0	14	4	6	0	9	29	3
T H E V O I D S	0	0	0	6	0	1	0	1	6	0	0	0	2	0	0	2	0	0	0	0	6	2	0	0	0	1	0	5	0	1	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	3	0	0	0	0	2	0	0	16	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	3	1	1	0	0	0	1	0	1	0	1	2	1	0	0	0	8	0	2	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	5	1	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	2	12	0	0	2	0	3	0	0	0	0	3	1	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	13	0	0	5	3	0	0	1	0	0	0	0	0	0	4	1	1	3	0	1	2	0	0	0	1	0	0	0	0	0	2	0	2	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	1	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	15	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	3	0	0	2	2	4	0	1	7	1	1	0	0	0	0	1	0	1	0	3	0	0	0	1	0	1	1	0	82	0	1	1	2	0	0	1	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	17	0	0	2	0	0	0	0	1	0	0	0	2	0	5	0	2	1	2	0	0	0	0	0	0	0	6	1	0	0	2	16	5	0	0	0	14	0	2	7	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	20	3	0	0	48	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	3	0	0	7	0	0	0	0	0	0	11	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	10	1	2	5
The Campus Buzz on WSOU	4	4	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	2	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	2	0	0	0	2	3	1	1	0	0	0	2	0	4	0	0	0	5	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	7	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	4	0	0	1	2	0	0	0	0	2	1	0	0	4	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	4	0	1	0	2	0	2	1	0	0	0	0	3	0	0	0	5	8	0	0	0	1	0	0	0	1	0	3	0	1	0	0	1	0	2	6	7	1	0	0	1	1	0	1	0	0	0	0	0	0	0	4	4	0	4	0	0	15	0	0	0	0	0	0	2	0	0	0	0	1	0	0	3	1	2	1	2	0	0	3	0	1	0	4	0	7	2	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	7	1	3	0	3	0	2	0	0	0	2	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	2	0	1	0	5	0	0	0	0	3	0	7	2	0	0	0	1	0	0	0	0	0	0	12	0	3	0	2	0	0	0	0	1	0	0	1	2	2	0	0	2	5	0	0	2	0	0	0	0	2	0	3	2	0	0	3	7	1	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	3	0	0	7	2	0	0	3	0	2	1	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	7	0	2	0	0	0	0	0	5	4	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	1	0	1	2	10	0	0	1	0
jaaackie.	0	0	0	0	0	0	0	0	2	3	5	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	20	1	0	2	1	0	0	0	0	1	1	0	2	0	1	0	1	0	0	0	5	0	0	0	0	1	0	6	0	3	3	0	0	4	0	0	2	5	3	1	0	0	0	0	2	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	2	2	0	0	0	0	1	1	0	0	0	4	0	3	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	4	0	0	0	0	2	0	1	0	0	0	0	0	8	3	0	0	0	0	6	0	0	0	0	1	2	0	1	0	0	0	7	0	0	3	0	0	1	1	4	0	2	2	0	0	1	0	0	0	5	0	0	1	0	0	0	1	0	0	1	0	3	1	0	0	0	0	0	4	0	0	0	0	2	3	0	1	2	0	0	1	0	0	0	1	3	0	0	7	0	1	0	0	0	0	2	0	0	0	1	0	0	2	0	3	0	0	0	2	2	0	0	1	0	0	0	0	0	2	0	3	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	2	1	0	0	16	3	0	0	0	2	0	0	1	0	1	0	0	6	0	7	0	0	0	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	5	0	0	0	0	11	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	3	1	1	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	1	4	1	2	0	0	1	0	3	0	3	0	0	3	1	0	0	0	2	4	0	0	0	0	0	0	0	4	4	2	0	0	0	1	0	0	3	3	0	4	0	0	0	0	0	0	1	4	1	0	1	1	1	0	0	9	0	3	0	6	1	0	3	0	0	0	0	5	0
A2 MEDIA COURSEWORK JOINT BLOG	0	0	0	13	0	2	0	2	5	2	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	3	3	17	0	1	2	0	0	0	2	0	0	0	0	0	2	2	0	0	7	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	3	0	0	0	0	2	0	0	3	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	3	3	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	6	3	5	0	0	0	0	12	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	4	10	0	0	1	3	0	0	1	0	0	0	0	0	0	2	1	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	7	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	4	3	0	7	0	0	20	0	5	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	16	0	1	31	4	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	6	17	0	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	5	0	2	0	0	0	0	4	0	0	1	2	0	0	0	2	0	0	2	0	0	0	1	0	0	0	1	1	0	0	1	0	0	10	1	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	13	0	1	4	1	0	0	1	13	0
The Girl at the Rock Show	1	0	2	0	0	1	0	0	3	3	2	0	1	0	0	3	0	1	0	4	1	0	1	0	3	0	1	6	4	2	1	2	0	0	0	0	1	0	0	3	1	4	0	2	1	0	0	2	2	0	1	0	1	0	1	7	1	6	0	1	3	2	2	2	4	1	5	3	1	0	4	0	0	0	2	4	0	1	0	1	2	1	2	0	3	0	6	0	0	1	7	1	0	1	0	0	1	0	0	1	0	1	1	4	2	0	3	1	0	0	0	2	0	0	1	1	0	2	0	4	1	0	3	1	14	1	1	1	0	3	0	0	0	0	0	5	5	1	0	0	0	0	0	0	3	0	3	0	5	5	0	1	1	0	1	0	1	0	1	0	2	0	2	3	1	1	0	3	3	2	0	0	1	5	5	2	0	1	0	1	1	0	0	3	3	0	0	7	1	0	0	2	0	2	0	0	7	0	2	6	0	0	0	3	0	3	1	0	2	7	0	0	2	0	0	0	0	0	0	2	0	0	0	12	3	0	0	0	0	0	0	0	1	0	1	1	1	4	0	1	5	0	1	1	9	1	0	0	1	0	7	0	2	0	0	15	1	1	0	2	4	0	1	0	2	0	1	0	2	5	0	0	0	0	0	2	0	2	0	0	0	0	1	1	0	0	2	1	0	0	0	0	3	1	0	4	2	11	0	5	5	1	2	0	0	1	0	0	1	8	0	0	2	0	0	0	5	1	4	1	10	1	0	2	0	4	1	0	1	0	1	2	2	2	3	2	11	2	0	0	2	1	0	0	3	2	0	0	2	3	10	3	1	0	2	0	4	1	3	0	0	0	1	1	0	1	0	4	0	4	0	0	1	4	5	2	0	0	2	0	0	0	7	0	0	2	0	1	0	1	3	0	2	0	4	0	1	0	0	0	0	0	7	1	4	3	2	0	8	1	0	9	0	2	4	0	0	0	1	0	0	3	0	0	1	0	0	2	11	0	0	6	2	0	4	1	3	3	8	3	0	1	3	0	2	1	1	0	2	1	4	4	1	0	0	0	0	4	0	2	1	0	1	0	0	0	0	0	2	0	4	0	0	0	2	0	1	0	6	3	0	3	2	3	0	1	4	0	5	0	0	0	0	0	3	0	2	1	3	1
Rosie Gigg A2 Media Studies	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	5	2	1	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	6	1	0	0	1	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	3	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	4	0	0	5	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0
Samtastic! Review	0	0	0	0	1	0	0	2	1	3	0	0	1	2	1	1	0	0	0	1	0	0	0	0	2	0	0	2	0	0	1	0	4	0	0	0	2	0	1	4	0	5	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	1	21	0	0	2	0	0	2	0	0	0	5	0	0	2	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	2	2	1	1	0	1	0	0	0	0	2	0	2	1	0	2	3	0	4	0	0	1	1	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	1	2	1	0	0	0	527	4	0	0	0	0	0	0	0	4	1	0	1	0	6	0	1	0	0	0	4	2	1	18	1	0	0	1	1	2	0	0	0	0	6	0	0	2	1	0	4	0	0	0	0	0	9	0	0	0	0	0	2	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	2	3	14	0	1	0	0	0	1	2	7	2	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	7	1	1	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	1	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	1	29	2	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	1	0	0	0	10	0	0	0	0	0	0	527	2	0	1	0	1	5	0	1	0	0	3	0	0	1	0	0	0	2	0	0	0	2	2	0	0	0	2	0	1	3	1	2	0	1	1	1	0	0	0	0	0	3	0	0	3	1	0	0	0	0	4	1	0	4	4	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	2	0	0	1	0	0	500	0	0	0	0	3	0	0	0	1	0	1	0	1	0	2	3	0	0	0	0	0	1	0	0	1	1
The Listening Ear	0	3	1	0	0	0	2	0	1	0	2	0	4	2	1	3	0	0	1	0	0	1	4	1	6	0	0	15	0	1	2	3	2	0	0	0	0	1	0	2	0	7	0	1	1	2	0	0	1	0	7	1	1	0	9	0	0	14	0	1	6	3	0	0	2	1	3	0	0	0	0	0	0	0	8	5	2	6	2	1	4	2	0	1	0	0	23	1	1	3	6	1	0	0	2	0	3	0	0	0	0	0	0	2	2	2	0	1	0	0	0	11	0	1	13	1	1	5	1	18	2	1	4	0	0	1	0	9	0	0	3	0	1	2	2	4	5	0	0	1	0	1	0	1	0	2	2	0	3	20	1	6	10	0	6	1	1	0	5	2	2	13	6	0	0	2	2	0	1	1	0	0	0	2	1	0	2	4	0	0	3	1	0	2	1	0	3	3	2	0	1	6	7	3	2	0	14	1	0	0	2	0	0	3	0	1	4	0	13	7	0	2	0	0	0	0	4	0	0	1	0	1	0	1	5	1	3	0	1	1	0	2	0	0	4	0	0	0	1	4	3	0	5	4	10	7	0	0	1	0	1	1	4	7	1	7	1	2	0	6	5	2	0	18	5	0	3	0	7	13	3	2	0	0	2	5	1	4	0	0	0	0	0	10	2	1	3	1	2	4	1	1	0	2	5	1	2	7	0	2	2	1	1	2	1	1	2	0	0	10	6	1	1	7	1	1	8	3	0	1	5	5	2	4	4	10	1	2	2	5	1	0	3	7	0	0	20	5	0	0	2	0	1	1	7	8	1	2	8	3	1	7	0	2	3	0	12	1	0	1	0	1	3	0	2	1	1	8	0	6	1	1	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	4	3	2	3	0	7	0	6	5	6	0	0	0	0	3	0	1	1	0	4	2	0	7	0	2	1	7	3	1	0	6	3	3	0	1	5	1	4	0	3	2	7	0	0	19	11	1	13	0	9	6	8	2	1	12	3	5	6	1	0	5	0	0	2	2	1	0	0	3	6	0	1	2	5	2	0	1	8	1	0	0	6	0	3	2	0	0	2	1	0	0	4	1	0	0	1	3	1	2	4	0	38	1	0	0	0	1	3	1	0	3	3	1
